64001,1,58,16,1,3,3,1,14,3,2
64001,2,50,16,2,3,3,1,1,3,2
64001,5,24,7,1,3,3,2,,,
64001,6,22,9,1,3,3,1,1,3,2
64001,7,20,12,1,3,3,1,1,3,2
64002,1,60,6,1,3,3,1,13,2,2
64002,2,45,16,2,3,3,2,,,
64002,4,25,12,1,3,3,2,,,
64005,1,60,10,2,4,32,2,,,
64005,2,50,9,2,4,32,1,15,3,2
64009,1,60,4,1,1,1,2,,,
64009,2,50,16,2,1,1,1,8,3,2
64013,1,35,2,1,1,1,1,1,2,2
64013,2,25,16,1,1,1,1,1,2,2
64016,1,56,4,1,1,1,1,1,3,2
64016,2,48,16,2,1,1,1,1,2,2
64016,3,30,7,1,1,1,1,4,2,2
64016,4,25,5,2,1,1,2,,,
64019,1,60,7,2,3,7,1,13,2,2
64019,2,50,3,1,3,7,1,16,1,2
64019,3,25,5,1,3,7,1,1,2,1
64024,1,30,7,1,1,1,1,15,2,1
64024,2,23,5,2,1,1,2,,,
64024,4,33,9,1,1,1,1,18,2,1
64025,1,55,3,1,1,1,1,1,2,2
64025,2,45,16,2,1,1,1,1,2,2
64026,1,65,7,2,3,7,1,15,3,2
64026,2,50,6,1,3,7,1,7,1,2
64029,2,30,5,1,3,19,2,,,
64031,1,60,16,1,1,1,2,,,
64031,2,55,16,2,1,1,2,,,
64031,3,35,9,1,1,1,1,29,3,1
64031,4,28,16,2,1,1,1,1,2,2
64032,1,50,3,1,1,1,1,1,2,1
64032,2,45,16,2,1,1,1,1,2,2
64034,2,40,16,1,1,1,1,5,2,1
64036,1,28,4,1,1,1,1,1,2,2
64036,2,23,4,2,1,1,2,,,
64038,1,42,2,1,1,1,1,1,2,1
64038,2,35,16,2,1,1,1,1,2,1
64038,3,32,16,2,1,1,2,,,
64039,1,45,16,1,3,16,1,1,2,2
64041,1,45,3,1,1,1,1,1,2,2
64042,1,60,16,2,1,1,1,17,2,1
64042,2,45,7,1,1,1,1,1,3,2
64044,1,60,4,1,3,33,1,14,3,2
64044,2,50,2,2,3,33,1,14,3,2
64044,3,25,10,1,3,33,1,14,3,2
64044,4,19,9,2,3,33,2,,,
64045,1,45,9,1,3,3,1,14,3,2
64045,2,40,16,2,3,3,2,,,
64047,1,58,10,1,3,3,1,11,2,2
64051,1,50,7,1,3,3,1,13,2,1
64051,2,45,16,2,3,3,1,14,2,2
64051,3,30,5,2,3,3,1,13,2,1
64051,4,22,10,1,3,3,2,,,
64051,6,20,12,1,3,3,2,,,
64053,1,53,10,1,3,3,1,14,3,2
64053,2,45,9,2,3,3,1,14,3,2
64054,1,68,4,1,3,3,2,,,
64054,2,58,16,2,3,3,2,,,
64055,1,30,6,1,3,3,1,5,2,1
64055,2,26,10,2,3,3,1,14,2,2
64056,1,32,16,1,3,3,1,14,2,2
64056,2,28,10,2,3,3,1,14,2,2
64057,1,40,16,1,3,3,1,14,3,2
64057,2,35,16,2,3,3,1,14,3,2
64057,4,19,11,1,3,3,1,14,3,2
64058,1,34,10,1,4,9,1,26,1,1
64058,2,19,10,2,4,9,2,,,
64058,5,32,16,1,4,9,2,,,
64060,1,48,14,1,3,3,1,1,3,2
64060,2,26,10,2,3,3,2,,,
64062,1,35,8,1,3,3,1,1,2,2
64062,2,30,5,2,3,3,2,,,
64065,1,45,10,1,3,3,1,14,3,2
64065,2,38,16,1,3,3,2,,,
64067,1,40,10,1,3,3,1,14,3,2
64067,2,35,4,2,3,3,2,,,
64069,1,65,16,1,3,3,1,1,3,2
64069,2,55,16,2,3,33,1,14,3,2
64072,1,38,16,1,3,3,1,1,3,2
64072,2,30,16,2,3,3,1,14,2,2
64073,1,50,4,1,3,3,1,14,2,2
64073,2,45,3,2,3,3,2,,,
64074,1,35,10,1,3,3,1,1,3,2
64074,2,28,6,2,3,3,1,1,3,2
64078,1,35,3,2,3,3,1,14,2,2
64079,1,45,16,2,3,3,1,1,3,2
64079,2,40,16,1,3,3,2,,,
64081,1,40,8,2,3,3,1,14,3,2
64081,2,31,8,2,3,3,1,14,3,2
64081,5,35,8,1,3,3,1,14,3,2
64081,6,28,10,2,3,3,1,14,3,2
64082,1,40,7,1,4,9,1,15,3,2
64082,2,27,10,2,4,9,2,,,
64087,1,60,5,1,3,19,1,14,3,2
64087,2,47,7,2,3,19,1,14,3,2
64087,4,21,10,1,3,19,1,14,3,2
64092,1,45,9,1,3,3,1,1,3,2
64092,2,36,8,2,3,3,2,,,
64095,1,44,7,1,3,3,1,1,3,2
64095,2,38,16,2,3,3,1,1,3,2
64098,1,55,10,1,3,3,1,1,3,2
64098,2,50,10,2,3,3,1,1,3,2
64100,1,50,10,1,3,3,1,1,3,2
64100,2,42,7,2,3,3,1,7,1,2
64101,1,45,14,1,3,11,1,16,1,1
64101,2,35,14,2,3,11,2,,,
64101,3,32,3,1,3,11,1,4,3,1
64101,4,22,10,2,3,11,2,,,
64102,1,48,3,1,3,3,1,14,3,2
64102,2,40,16,2,3,3,1,14,3,2
64104,1,60,16,1,3,3,1,1,3,2
64104,2,50,16,2,3,3,1,1,3,2
64104,3,20,10,1,3,3,2,,,
64105,4,45,10,1,4,3,1,1,3,2
64107,1,37,10,1,3,3,1,14,3,2
64107,2,30,7,1,3,3,1,14,3,2
64108,1,65,8,1,3,3,1,1,3,2
64108,2,60,16,2,3,3,2,,,
64108,3,43,7,1,3,3,1,14,3,2
64108,4,35,4,1,3,3,1,1,3,2
64108,8,35,10,1,3,3,2,,,
64108,9,30,7,2,3,3,2,,,
64108,12,30,10,1,3,3,2,,,
64108,13,28,12,2,3,3,2,,,
64109,1,40,14,1,3,3,1,1,3,2
64109,2,30,10,2,3,3,2,,,
64110,1,45,16,1,3,35,1,1,3,2
64110,2,38,16,1,1,35,2,,,
64111,1,48,10,1,1,35,1,9,2,1
64111,2,35,7,2,1,35,2,,,
64114,1,45,16,1,1,1,2,,,
