7137,1,,,,1,,,,,,
7004,1,,,,,,,,,1,
7135,2,,1,,,,,1,,,
7045,2,,,,,,1,,,,
7121,1,,,,,,,,1,,
7124,1,,,,,,,,1,,
7035,1,,,,,,,,1,,
7068,1,,,,,,,,1,,
7025,2,,,,,,,,1,,
7133,1,,,,,,,,1,,
7033,2,1,,,,,,,,,
7040,1,1,,,,,,,,,
7125,1,1,,,,,,,,,
7096,6,1,,,,,,,,,
7098,1,1,,,,,,,,,
7033,2,1,,1,,,,,,,
7139,1,,,1,,,,,,,
7016,2,,,1,,,,,,,
7114,4,,1,,,,,,,,
7105,4,,1,,,,,,,,
7078,1,,1,,,,,,,,
7028,3,,1,,,,,,,,
7133,4,,1,,,,,,,,
7023,5,,1,,,,,,,,
7039,2,,1,,,,,,,,
7043,2,,1,,,,,,,,
7106,2,,1,,,,,,,,
7077,4,,1,,,,,,,,
7070,7,,1,,,,,,,,
7136,2,,1,,,,,,,,
7137,2,,1,,,,,,,,
7040,2,,1,,,,,,,,
7047,2,,1,,,,,,,,
7095,1,,1,,,,,,,,
7063,2,,1,,,,,,,,
7077,8,,1,,,,,,,,
7094,2,,1,,,,,,,,
7117,2,,,,,,,,,,1
7042,1,1,,,,,,,,,
