3009,1,45,9,1,4,13,1,22,2,1,2,2,2,1,1,2
3009,2,35,16,2,3,13,2,,,,1,2,2,1,1,2
3009,4,32,10,1,4,6,1,10,2,1,2,2,2,1,1,2
3009,5,27,7,2,3,6,1,13,2,1,2,2,2,1,1,2
3010,1,44,16,1,3,16,1,1,2,2,2,2,1,1,1,1
3010,2,35,3,2,3,16,1,1,2,1,1,1,1,1,1,1
3011,1,35,7,1,3,6,1,1,2,2,2,2,2,1,3,
3011,2,29,10,2,4,6,2,,,,2,2,2,1,1,6
3016,1,35,9,1,3,12,1,9,2,1,2,2,2,1,1,6
3016,2,28,16,2,3,12,2,,,,2,2,2,1,1,6
3024,1,60,7,1,4,6,1,13,2,2,2,2,1,1,1,3
3024,2,40,12,1,4,6,1,1,2,2,2,2,1,1,1,2
3024,3,30,8,2,4,6,2,,,,2,2,2,1,1,3
3025,1,48,4,1,4,6,1,25,2,2,2,1,2,1,1,6
3025,2,38,7,2,4,6,1,25,2,2,2,1,2,1,1,6
3026,1,56,10,1,4,6,1,27,1,2,2,1,1,1,1,3
3026,2,40,4,2,4,6,2,,,,2,2,1,1,1,3
3028,1,50,10,1,3,6,2,,,,2,2,1,1,1,1
3028,2,45,16,2,4,6,2,,,,1,1,2,3,1,1
3028,3,30,10,1,4,6,1,10,2,2,2,2,2,1,1,1
3028,4,25,9,2,3,6,2,,,,2,-999,2,3,1,1
3029,1,61,10,1,3,7,2,,,,2,1,1,1,1,2
3029,2,50,2,2,3,7,2,,,,1,1,1,1,1,2
3029,4,35,10,1,3,7,1,1,2,2,2,1,2,1,1,2
3029,5,26,9,2,3,7,1,1,2,2,2,1,2,1,1,2
3029,8,32,6,1,3,7,2,,,,1,1,2,1,1,2
3030,1,60,4,2,4,19,1,1,2,2,1,1,2,1,1,2
3030,2,35,10,1,3,3,1,10,2,1,2,2,2,1,1,1
3030,3,22,2,2,3,19,2,,,,2,2,2,1,1,2
3033,1,50,3,1,3,3,2,,,,2,2,2,1,1,6
3034,1,44,14,1,3,3,1,1,2,2,2,1,1,1,1,6
3034,2,39,10,1,3,3,2,,,,1,-999,1,1,1,6
3034,3,18,14,1,3,3,2,,,,2,2,1,3,1,3
3036,1,55,8,1,3,6,1,1,2,2,2,2,2,1,1,6
3036,2,42,4,2,3,6,1,1,2,2,1,1,2,1,1,6
3036,3,30,10,1,4,6,1,1,2,2,2,2,2,1,1,6
3037,1,35,12,2,3,6,1,13,2,1,2,2,1,3,1,2
3037,2,20,9,2,3,6,2,,,,2,2,2,3,1,2
3038,1,55,16,1,4,6,1,1,2,2,2,1,1,1,1,6
3038,2,50,16,2,4,6,1,1,2,2,2,1,2,1,1,6
3038,3,28,7,1,3,6,1,13,2,1,2,1,2,1,1,6
3038,4,19,7,2,3,6,2,,,,2,-999,2,3,1,6
3039,1,56,8,1,3,6,1,1,2,2,2,2,2,1,1,6
3040,1,45,13,1,4,6,2,,,,2,2,1,1,1,6
3040,2,36,10,1,3,6,2,,,,2,2,1,1,1,6
3042,1,60,4,2,4,6,2,,,,2,2,2,1,1,3
3042,2,40,10,1,4,6,1,1,2,2,2,1,1,1,1,3
3042,3,32,12,2,4,6,1,15,2,2,2,2,2,1,1,3
3042,4,34,10,1,4,6,1,1,2,2,2,2,2,1,1,3
3042,5,21,10,2,4,6,2,,,,2,2,2,1,1,3
3043,1,70,4,1,3,6,2,,,,2,2,2,1,1,2
3043,2,60,16,2,4,6,2,,,,2,2,2,3,1,2
3043,3,45,10,1,3,6,1,13,2,2,2,2,2,1,1,2
3043,4,30,9,2,4,6,2,,,,2,2,2,1,1,2
3045,1,55,10,2,4,6,1,1,2,2,2,2,2,1,1,2
3045,2,35,7,1,4,6,1,1,2,2,2,2,2,1,1,2
3045,3,25,10,2,3,6,2,,,,2,2,2,1,1,2
3049,1,60,10,1,3,6,1,1,2,2,2,2,2,1,1,1
3049,2,50,9,2,3,6,1,1,2,2,2,2,2,1,1,1
3051,1,48,10,1,3,6,1,1,2,2,2,2,2,1,1,6
3051,2,38,7,2,4,6,1,1,2,2,2,2,2,1,1,6
3054,1,38,12,1,3,6,1,13,2,2,2,2,1,1,1,2
3054,2,28,10,2,3,6,2,,,,1,2,2,1,1,2
3055,1,45,14,1,4,6,1,21,2,1,2,1,1,1,3,
3055,2,40,7,2,4,6,2,,,,1,1,1,1,3,
3055,3,24,14,1,4,6,2,,,,2,-999,2,1,1,3
3056,1,52,12,2,3,6,1,16,2,1,2,2,1,3,3,
3056,2,40,10,2,3,6,2,,,,2,2,2,3,3,
3057,1,70,10,1,3,3,2,,,,2,1,1,1,1,3
3057,2,65,16,2,3,3,2,,,,2,2,2,1,1,2
3057,3,44,10,1,3,3,1,1,2,2,2,1,1,1,1,3
3057,4,30,7,2,3,3,2,,,,1,2,2,1,1,2
3059,1,55,10,1,3,3,1,1,2,2,2,2,2,1,1,2
3059,2,45,7,2,3,3,1,13,2,2,1,2,2,1,1,6
3059,3,25,12,1,3,3,1,27,1,2,2,2,1,1,1,2
3059,4,22,10,2,3,3,2,,,,2,2,2,3,3,
3061,1,55,9,1,3,3,1,1,2,2,2,1,1,1,1,2
3061,2,40,16,2,3,3,2,,,,1,1,2,1,1,2
3061,4,19,16,1,3,3,2,,,,1,1,1,1,1,2
3062,1,28,10,2,3,5,1,24,2,1,2,2,1,1,1,1
3062,2,23,10,1,3,5,1,15,2,2,2,2,1,1,1,2
3064,1,33,12,2,3,14,1,16,2,1,2,2,1,3,3,
3064,2,25,10,2,3,14,2,,,,2,2,2,3,3,
3065,1,46,10,1,3,19,1,1,2,2,2,1,2,1,1,2
3065,2,40,16,2,3,19,1,1,2,2,1,1,1,1,1,2
3068,1,71,16,1,3,3,2,,,,2,2,2,1,1,2
3068,2,38,8,1,3,3,1,1,2,2,2,2,2,1,3,
3068,3,28,16,2,3,3,1,1,2,2,1,1,2,1,1,2
3070,1,40,7,1,3,3,1,1,2,2,2,2,2,1,1,1
3070,2,30,9,2,3,3,2,,,,1,1,1,1,1,1
3072,1,50,16,2,3,3,2,,,,1,2,1,1,1,1
3072,2,32,12,1,3,19,1,10,2,1,2,1,1,1,1,2
3072,3,25,10,2,4,3,2,,,,2,-999,2,2,1,2
3072,4,30,7,1,3,3,1,1,2,2,2,1,2,1,1,1
3072,5,22,10,2,3,3,2,,,,2,2,2,3,3,
3074,1,38,10,1,4,15,1,26,2,2,2,2,2,1,3,
3074,2,25,10,2,4,15,1,16,2,1,2,2,2,1,3,
3076,1,38,10,1,4,3,1,1,2,2,2,1,2,1,1,2
3076,2,35,7,2,3,3,1,1,2,2,1,1,1,1,1,2
3078,1,60,4,1,4,6,1,1,2,1,2,1,2,1,1,2
3078,2,55,16,2,4,6,1,1,2,2,1,1,1,1,1,2
