3100301,3101002,3100101,0,0,0,0,0,0
3100302,3109303,3114603,0,0,0,0,0,0
3100305,3101103,3101403,0,0,0,0,0,0
3100306,3100401,3100602,0,0,0,0,0,0
3100501,3100703,3100202,3109412,0,0,0,0,0
3100601,3100201,0,0,0,0,0,0,0
3100602,7777777,0,0,0,0,0,0,0
3100701,3100602,3100802,0,0,0,0,0,0
3100702,3102202,3100601,0,0,0,0,0,0
3100703,3100602,3100802,0,0,0,0,0,0
3100704,3101408,3108704,0,0,0,0,0,0
3100901,3100702,3100601,0,0,0,0,0,0
3100902,3110702,3102902,3101902,0,0,0,0,0
3100904,3102102,3110702,0,0,0,0,0,0
3101001,3100702,3100601,0,0,0,0,0,0
3101002,3110902,3102402,3108302,0,0,0,0,0
3101201,3102701,3101101,0,0,0,0,0,0
3101202,3102702,0,0,0,0,0,0,0
3101501,3101202,3102901,0,0,0,0,0,0
3101502,3108702,3103101,0,0,0,0,0,0
3101503,3108001,3102303,3100305,0,0,0,0,0
3101504,3102902,3109708,3109602,0,0,0,0,0
3101505,3101901,3109403,3102803,0,0,0,0,0
3101701,3103201,3102301,0,0,0,0,0,0
3101702,3105201,0,0,0,0,0,0,0
3101703,3101902,0,0,0,0,0,0,0
3101801,3102802,3102901,0,0,0,0,0,0
3101803,3101102,3108602,3114602,0,0,0,0,0
3101901,3109901,3108801,0,0,0,0,0,0
3101902,3102701,3102001,0,0,0,0,0,0
3102401,3102601,3102701,3102901,0,0,0,0,0
3102402,3101502,3109402,3100501,3109412,0,0,0,0
3102701,3102101,5555555,0,0,0,0,0,0
3102702,3102102,3114902,3103002,0,0,0,0,0
3102706,3111103,3111203,0,0,0,0,0,0
3102707,3102102,3101404,0,0,0,0,0,0
3102801,3110301,3101001,3102101,3102301,0,0,0,0
3102802,3109302,3109404,0,0,0,0,0,0
3102803,3100401,3100801,3111103,3101001,0,0,0,0
3102804,3102902,0,0,0,0,0,0,0
3102808,3109303,0,0,0,0,0,0,0
3102809,3102902,3102102,0,0,0,0,0,0
3103001,3111301,3109707,0,0,0,0,0,0
3103002,3102702,3101902,3111302,0,0,0,0,0
3103101,3101404,0,0,0,0,0,0,0
3103102,3108004,3109409,3102401,0,0,0,0,0
3103501,3103001,0,0,0,0,0,0,0
3103503,7777777,0,0,0,0,0,0,0
3103601,3105601,3104201,3105301,0,0,0,0,0
3103602,3104902,3104201,3103802,0,0,0,0,0
3103603,3104201,3104902,3103901,0,0,0,0,0
3103701,3103902,0,0,0,0,0,0,0
3103702,3107206,3107703,5555555,0,0,0,0,0
3104001,3105501,3104801,3103901,0,0,0,0,0
