71107,1,,,,1,,,,,,
71156,1,,,,1,,,,1,,
71106,1,,,,1,,,,,,
71024,1,,,,1,,,,,,
71295,1,,,,,,,,,1,
71145,1,,,,,,,,1,,
71144,1,,,,,,,,1,,
71002,1,,,,,,,,1,,
71015,2,,1,,,,,,1,,
71141,1,,,,,,,,1,,
71053,1,,,,,,,,1,,
71013,1,,,,,,,,1,,
71217,1,,,,,,,,1,,
71213,1,,,,,,,,1,,
71270,2,,,,,,,,1,,
71164,1,,,,,,,,1,,
71014,3,,,,,,,,1,,
71194,5,,,,,,,,1,,
71018,1,,,,,,,,1,,
71195,1,,,,,,,,1,,
71225,1,1,,,,,,,,,
71081,1,1,,,,,,,,,
71169,2,,,1,,,,,,,
71264,2,,,1,,,,,,,
71041,1,,,1,,,,,,,
71121,1,,,1,,,,,,,
71259,2,,1,,,,,,,,
71218,2,,1,,,,,,,,
71041,2,,1,,,,,,,,
71068,2,,1,,,,,,,,
71126,2,,1,,,,,,,,
71196,2,,1,,,,,,,,
71185,2,,1,,,,,,,,
71137,2,,1,,,,,,,,
71155,2,,1,,,,,,,,
71026,2,,1,,,,,,,,
71116,11,,1,,,,,,,,
71249,2,,1,,,,,,,,
71030,2,,1,,,,,,,,
71253,2,,1,,,,,,,,
71092,3,,1,,,,,,,,
71292,2,,1,,,,,,,,
71157,2,,1,,,,,,,,
71086,2,,1,,,,,,,,
71090,2,,1,,,,,,,,
71076,2,,1,,,,,,,,
71058,3,,1,,,,,,,,
