1105,1,,,,1,,,,1
1176,1,,,,1,,,,
1062,2,,,,,,,1,
1119,1,,,,,1,,,
1105,1,,,,,,,,
1104,1,,,,,,,,1
1159,1,,,,,,,,1
1062,1,,,,,,,,1
1134,1,,,,,,,,1
1003,1,,,,,,,,1
1045,2,,,,,,,,1
1157,1,,,,,,,,1
1177,1,,,,,,,,1
1002,1,,,,,,,,1
1043,1,,,,,,,,1
1163,4,,,,,,,,1
1126,1,,,,,,,,1
1140,1,,,,,,,,1
1078,1,,,,,,,,1
1136,1,,,,,,,,1
1088,1,,,,,,,,1
1079,1,1,,1,,,,,
1060,1,1,,,,,,,
1088,1,1,,,,,,,
1133,1,1,,,,,,,
1037,2,,,1,,,,,
1173,1,1,,1,,,,,
1042,2,,1,,,,,,
1016,2,,1,,,,,,
1178,2,,1,,,,,,
1057,3,,1,,,,,,
1092,2,,1,,,,,,
1029,2,,1,,,,,,
1019,5,,1,,,,,,
1025,2,,1,,,,,,
1179,2,,1,,,,,,
1002,2,,1,,,,,,
