73001,1,35,4,2,2,17,1,10,2,1,2,1,1,3,3,
73001,2,30,16,1,2,17,1,10,2,1,2,2,2,3,3,
73003,1,35,16,1,2,17,1,1,2,1,2,2,1,1,1,1
73003,2,30,16,1,2,17,1,1,2,1,2,1,2,1,1,2
73004,1,45,16,2,1,11,1,10,2,1,2,1,2,1,1,2
73004,2,35,16,1,1,11,1,1,2,2,2,2,2,1,1,2
73005,1,40,10,1,4,32,1,7,2,1,2,1,1,1,1,2
73005,2,38,7,2,4,32,2,,,,1,2,1,1,1,2
73006,1,45,10,2,2,17,1,17,1,1,2,1,1,1,1,3
73006,2,42,16,1,2,17,2,,,,2,2,2,1,1,3
73007,1,52,16,2,1,11,1,10,2,1,2,2,2,3,1,2
73007,2,42,16,1,1,11,1,1,2,2,2,2,2,1,1,2
73008,1,40,16,1,3,3,1,10,2,1,2,1,1,1,1,2
73008,2,30,16,2,3,3,1,1,2,1,1,1,1,1,1,2
73010,1,43,16,1,3,3,1,1,2,1,2,1,2,1,1,2
73010,2,35,16,2,3,3,1,8,3,2,2,2,2,1,1,2
73014,1,30,4,1,2,17,1,1,3,2,2,2,2,3,1,1
73014,13,55,16,1,2,17,2,,,,2,2,2,1,1,2
73014,14,50,16,2,2,17,1,1,3,2,2,2,2,1,1,2
73014,2,25,16,2,2,17,2,,,,2,2,2,1,1,2
73014,3,33,16,1,2,17,1,1,3,2,2,1,1,1,1,2
73014,4,30,3,2,2,17,1,1,2,2,2,2,2,1,1,2
73016,1,35,9,1,1,1,1,9,2,1,2,2,2,1,1,1
73016,2,28,7,2,1,1,2,,,,2,2,2,1,1,1
73016,4,38,16,1,1,1,1,10,2,1,2,1,2,1,3,
73016,6,28,10,1,1,1,1,9,1,1,2,1,1,1,1,2
73016,7,21,12,2,1,1,2,,,,2,2,2,3,3,
73018,1,35,10,1,1,11,1,10,2,1,2,1,1,1,1,2
73018,2,28,16,2,1,11,2,,,,2,2,2,1,1,2
73021,1,57,16,1,3,3,1,1,3,2,2,2,2,1,1,1
73021,10,25,5,2,3,3,1,1,3,2,2,2,2,1,3,
73021,12,23,8,1,3,3,1,9,2,2,2,2,2,1,3,
73021,13,20,10,2,3,3,2,,,,2,2,2,3,3,
73021,2,47,3,1,3,3,2,,,,2,2,2,1,3,
73021,3,38,3,1,3,3,2,,,,2,2,2,1,3,
73021,4,32,3,1,3,3,1,9,2,1,2,2,2,1,3,
73021,5,26,6,2,3,3,2,,,,2,2,2,3,3,
73021,9,29,4,1,3,3,1,1,3,2,2,2,2,1,3,
73023,1,64,16,1,1,11,2,,,,2,1,1,1,1,1
73023,2,37,13,1,1,11,1,13,2,2,2,2,1,1,1,3
73023,7,31,12,1,1,11,1,32,2,1,2,1,1,1,1,1
73023,8,21,10,2,1,11,2,,,,2,2,1,3,1,1
73025,1,50,6,1,1,11,1,10,2,1,2,2,1,1,1,2
73025,2,43,2,2,1,11,2,,,,2,2,2,1,1,
73025,6,40,2,1,1,11,1,10,2,1,2,2,2,1,1,
73025,7,30,1,2,1,11,2,,,,2,2,2,1,1,
73026,1,35,16,1,2,17,1,1,2,2,2,2,2,1,1,2
73026,2,25,16,2,2,17,1,10,2,2,2,2,2,1,1,
73028,1,40,16,1,2,17,1,10,2,1,2,2,2,1,1,2
73028,2,32,16,2,2,17,1,17,2,2,2,1,2,1,1,1
73030,1,35,4,1,2,17,1,9,2,1,2,2,2,1,1,2
73030,2,34,16,2,2,17,1,10,2,2,2,2,2,1,1,2
73033,1,30,10,1,1,1,1,1,3,2,2,2,2,1,3,
73033,2,25,10,1,1,1,2,,,,2,2,2,3,3,
73038,2,45,2,2,1,1,1,1,2,1,2,2,2,1,1,1
73039,1,35,9,1,1,1,1,10,2,1,2,1,2,1,1,1
73039,2,32,1,2,1,1,2,,,,2,2,2,1,1,2
73041,1,45,7,2,3,3,1,1,2,1,2,2,2,1,1,2
73041,2,35,16,1,3,3,2,,,,2,1,2,1,1,2
73043,1,30,3,1,1,1,1,9,2,1,2,2,2,1,1,1
73043,2,28,9,2,1,1,2,,,,2,2,2,1,1,2
73044,1,27,9,1,1,1,1,1,2,2,2,1,2,1,1,2
73044,2,20,10,2,1,1,2,,,,2,2,2,3,3,
73044,3,55,6,1,1,1,1,1,2,1,2,2,2,1,1,2
73044,4,50,4,2,1,1,1,1,2,2,1,1,1,1,1,2
73045,2,40,16,1,3,3,1,1,2,2,1,1,1,1,1,3
73045,4,20,10,1,3,3,1,10,2,1,2,2,2,3,1,3
73047,1,31,8,1,2,17,1,22,3,1,2,2,1,1,1,2
73047,2,23,8,2,2,17,2,,,,2,2,1,1,1,2
73049,2,35,7,2,3,3,2,,,,1,1,1,1,1,1
73050,1,70,16,1,3,3,1,1,2,1,2,2,2,1,1,2
73050,2,50,16,1,3,3,1,10,2,1,2,2,2,1,1,3
73050,3,40,16,2,3,3,2,,,,2,2,2,1,1,
73052,1,40,7,1,3,3,1,32,2,2,2,2,1,1,1,2
73052,2,35,16,2,3,3,1,8,3,2,1,1,1,1,1,2
73053,1,27,7,1,3,3,1,5,2,1,2,2,2,1,1,6
73053,2,23,10,2,3,3,2,,,,1,2,1,3,3,
73057,1,45,16,1,3,3,1,10,2,1,2,2,1,1,1,2
73057,2,38,16,2,3,3,1,8,3,2,2,2,2,1,1,2
73057,3,18,10,1,3,3,2,,,,2,2,2,3,1,2
73063,1,30,9,2,3,3,1,25,2,1,2,2,2,1,1,2
73063,2,23,5,1,3,3,1,1,2,2,2,2,2,1,1,2
73064,1,45,3,1,3,3,1,10,2,1,2,2,1,1,1,2
73064,2,39,8,2,3,3,1,7,1,2,1,2,1,1,1,2
73064,4,18,12,1,3,3,2,,,,2,2,2,3,1,2
73065,1,35,12,1,3,3,1,15,2,2,2,1,1,2,3,
73066,1,35,10,1,2,17,1,1,2,1,2,1,1,1,1,2
73068,1,35,16,1,3,3,1,1,2,2,1,1,1,1,1,2
73069,1,35,5,1,3,3,1,15,2,2,2,2,1,1,1,6
73070,1,40,16,1,1,11,1,10,2,1,2,1,1,1,3,
73070,2,35,5,2,1,11,2,,,,2,2,2,1,3,
73073,2,38,8,2,3,3,1,1,2,2,1,1,1,3,3,
