31023,1,,,,1,,,,,,
31032,1,,,,1,,,,,,
31023,1,,,,1,,,,,,
31038,1,,,,,,,,,1,
31131,1,,,,,,,,,1,
31043,1,,,,,,,,,1,
31146,1,,,,,,,,1,,
31008,6,,,,,,,,1,,
31151,1,,,,,,,,1,,
31120,1,,,,,,,,1,,
31149,1,,,,,,,,1,,
31116,1,,,,,,,,1,,
31124,1,,,,,,,,1,,
31118,1,,,,,,,,1,,
31127,1,,,,,,,,1,,
31079,8,,,,,,,,1,,
31051,1,,,,,,,,1,,
31044,1,,,,,,,,1,,
31093,1,1,,,,,,,,,
31112,1,1,,,,,,,,,
31094,3,1,,1,,,,,,,
31140,18,,,1,,,,,,,
31051,1,,,1,,,,,,,
31002,2,,1,,,,,,,,
31100,2,,1,,,,,,,,
31010,2,,1,,,,,,,,
31080,8,,1,,,,,,,,
31063,2,,1,,,,,,,,
31088,8,,1,,,,,,,,
